DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,SMA_14,RSI_14,BOLLINGER_UPPER,BOLLINGER_MIDDLE,BOLLINGER_LOWER,MACD,MACD_SIGNAL,MACD_HIST,ATR,STDDEV,PIVOT,R1,S1,R2,S2,R3,S3,ENGULFING,DOJI,HAMMER,MORNINGSTAR,OBV
2023-01-29,23031.44921875,23919.890625,22985.0703125,23774.56640625,27423687259,22420.51729910714,83.35902258582712,25048.62990822773,21495.2345703125,17941.839232397273,1458.810398912392,1387.907740313992,70.90265859839997,630.4934265646145,926.6652246785632,23559.842447916668,24134.614583333336,23199.794270833336,24494.662760416668,22625.022135416668,25069.434895833336,22264.973958333336,0,0,0,0,-854329868434.0
2023-01-30,23774.6484375,23789.34765625,22657.58203125,22840.138671875,27205595568,22539.83914620536,68.31722030950543,24833.908853254576,21764.92685546875,18695.944857682927,1379.1819312546286,1386.1625785021192,-6.980647247490651,666.2985835957135,863.2976805630801,23095.689453125,23533.796875,22402.03125,24227.455078125,21963.923828125,24665.5625,21270.265625,-1,0,0,0,-881535464002.0
2023-01-31,22840.796875,23225.021484375,22765.568359375,23139.283203125,22837828665,22681.107979910714,70.17280067885038,24592.584338065142,22025.14619140625,19457.708044747356,1324.9411635739923,1373.9182955164938,-48.97713194250127,651.5239079817339,784.4075217665521,23043.291015625,23321.013671875,22861.560546875,23502.744140625,22583.837890625,23780.466796875,22402.107421875,0,0,0,0,-858697635337.0
2023-02-01,23137.8359375,23764.5390625,22877.75,23723.76953125,26683255504,22897.89285714286,73.44527516972987,24490.840306028455,22267.8552734375,20044.870240846543,1313.9714810128207,1361.928932615759,-47.95745160293836,668.3285618758957,602.0186276678131,23455.352864583332,24032.955729166664,23146.166666666664,24342.141927083332,22568.563802083332,24919.744791666664,22259.377604166664,0,0,0,0,-832014379833.0
2023-02-02,23720.82421875,24167.2109375,23468.595703125,23471.87109375,32066936882,23068.25558035714,69.88655978294341,24444.06815717465,22445.9701171875,20447.872077200347,1270.3085041513586,1343.604846922879,-73.29634277152036,670.4918956258317,350.205021455466,23702.559244791668,23936.522786458336,23237.907552083336,24401.174479166668,23003.944010416668,24635.138020833336,22539.292317708336,0,0,0,0,-864081316715.0
2023-02-03,23469.412109375,23678.103515625,23279.955078125,23449.322265625,27083066007,23123.45340401786,69.56163535478382,24493.314012797782,22569.6212890625,20645.928565327216,1219.8244020402235,1318.848757946348,-99.02435590612436,651.0387914739866,344.97777376525556,23469.126953125,23658.298828125,23260.150390625,23867.275390625,23070.978515625,24056.447265625,22862.001953125,0,1,0,0,-891164382722.0
2023-02-04,23446.3203125,23556.94921875,23291.794921875,23331.84765625,15639298538,23163.04073660714,67.79323824450866,24477.192172341955,22692.17373046875,20907.155288595543,1156.9990038885917,1286.4788071347966,-129.47980324620494,623.4756132883448,334.6667835546016,23393.530598958332,23495.266276041664,23230.111979166664,23658.684895833332,23128.376302083332,23760.420572916664,22964.957682291664,0,0,0,0,-906803681260.0
2023-02-05,23332.248046875,23423.435546875,22841.759765625,22955.666015625,19564262605,23179.844308035714,62.32889802232542,24426.057756847524,22781.475390625,21136.89302440248,1064.5828601713474,1242.0996177421068,-177.5167575707594,620.4899109998915,317.4857224354747,23073.620442708332,23305.481119791664,22723.805338541664,23655.296223958332,22491.944661458332,23887.156901041664,22142.129557291664,0,0,0,0,-926367943865.0
2023-02-06,22954.021484375,23119.279296875,22692.025390625,22760.109375,23825006542,23167.392717633928,59.63778159055031,24329.17058906969,22861.4048828125,21393.639176555313,964.4450912242572,1186.568712438537,-222.12362121427964,606.6873392320422,330.0367969247984,22857.138020833332,23022.250651041664,22594.996744791664,23284.391927083332,22429.884114583332,23449.504557291664,22167.742838541664,0,0,0,0,-950192950407.0
2023-02-07,22757.267578125,23310.974609375,22756.2578125,23264.291015625,27187964471,23212.237165178572,63.95840295352385,24074.804001745488,22990.18037109375,21905.55674044201,915.2183650480584,1132.2986429604412,-217.08027791238283,602.9751576351106,295.71882164213855,23110.5078125,23464.7578125,22910.041015625,23665.224609375,22555.791015625,24019.474609375,22355.32421875,1,0,0,1,-923004985936.0
